t,Tr,err
0.000000000000000000e+00,8.543294270833333703e-01,1.448361957239394961e-02
2.639993826546044864e-01,5.687662760416666297e-01,5.774125070428037104e-02
5.279987653092089728e-01,3.396809895833333148e-01,5.313566761497273000e-02
7.919981479638134036e-01,3.063151041666666852e-01,3.229594868807648261e-02
1.055997530618417946e+00,3.005371093750000000e-01,5.631257567857518576e-02
1.319996913273022487e+00,2.563476562500000000e-01,2.214199791104030229e-02
1.583996295927626807e+00,2.443847656250000000e-01,4.864794228969823719e-02
1.847995678582231349e+00,2.342122395833333426e-01,1.824931892738303890e-02
2.111995061236835891e+00,1.863606770833333426e-01,1.166976297253508217e-02
2.375994443891440433e+00,1.959635416666666574e-01,9.904342473060804078e-03
2.639993826546044975e+00,1.800130208333333426e-01,6.467550939552580563e-03
2.903993209200649517e+00,1.617838541666666574e-01,1.004081397439565530e-02
3.167992591855253615e+00,1.569010416666666574e-01,1.129866822383372715e-02
3.431991974509858156e+00,1.294759114583333426e-01,7.682136490973400823e-03
3.695991357164462698e+00,1.478678385416666574e-01,1.037174712104780086e-02
3.959990739819067240e+00,1.302083333333333426e-01,3.332507110560135877e-02
4.223990122473671782e+00,1.309407552083333426e-01,1.316348453489306694e-02
4.487989505128275880e+00,1.092936197916666713e-01,1.233682086539339244e-02
4.751988887782880866e+00,1.190592447916666713e-01,1.127754700606771465e-02
5.015988270437484964e+00,1.032714843750000000e-01,1.128693909348034430e-02
5.279987653092089950e+00,1.136881510416666713e-01,2.205448689769093362e-02
5.543987035746694048e+00,1.317545572916666574e-01,9.489434797657788495e-03
5.807986418401299034e+00,1.018066406250000000e-01,7.345888083591639757e-03
6.071985801055903131e+00,1.037597656250000000e-01,1.245835041227839370e-02
6.335985183710507229e+00,1.157226562500000000e-01,5.180922539842775648e-03
6.599984566365112215e+00,1.168619791666666713e-01,5.788301400417735464e-03
6.863983949019716313e+00,1.057128906250000000e-01,8.859984038878934362e-03
7.127983331674321299e+00,1.045735677083333287e-01,2.756135127258479631e-03
7.391982714328925397e+00,9.692382812500000000e-02,1.282687365631248778e-02
7.655982096983530383e+00,1.055501302083333287e-01,3.814466681399077217e-03
7.919981479638134481e+00,9.228515625000000000e-02,2.583741514711514371e-03
8.183980862292738578e+00,9.016927083333332871e-02,3.871337855555434960e-03
8.447980244947343564e+00,1.090494791666666713e-01,2.548370255243759611e-02
8.711979627601948550e+00,1.077473958333333287e-01,7.974014703944622834e-03
8.975979010256551760e+00,1.059570312500000000e-01,6.888054677571232853e-03
9.239978392911156746e+00,9.757486979166667129e-02,9.823774357631888041e-03
9.503977775565761732e+00,1.299641927083333426e-01,1.029097703278228186e-02
9.767977158220366718e+00,1.301269531250000000e-01,1.116214924624695827e-02
1.003197654087496993e+01,1.502278645833333426e-01,3.687340741930075425e-03
1.029597592352957491e+01,1.634928385416666574e-01,9.796433066513917862e-03
1.055997530618417990e+01,1.660970052083333426e-01,1.106501527820728976e-02
1.082397468883878311e+01,1.587727864583333426e-01,9.961349711480299574e-03
1.108797407149338810e+01,1.451009114583333426e-01,2.934205139537752289e-04
1.135197345414799308e+01,1.368001302083333426e-01,5.696614583333333912e-03
1.161597283680259807e+01,1.494140625000000000e-01,1.185025497999179535e-02
1.187997221945720128e+01,1.407877604166666574e-01,4.022356235760871264e-03
1.214397160211180626e+01,1.510416666666666574e-01,9.382047476784330028e-03
1.240797098476641125e+01,1.813964843750000000e-01,4.981505840756149384e-03
1.267197036742101446e+01,1.901041666666666574e-01,3.600097063898871456e-03
1.293596975007561944e+01,1.630859375000000000e-01,7.987292289918599547e-03
1.319996913273022443e+01,1.595052083333333426e-01,5.784867904475230783e-03
1.346396851538482942e+01,1.379394531250000000e-01,2.943219615889506452e-03
1.372796789803943263e+01,1.237792968750000000e-01,1.122073428883110791e-02
1.399196728069403761e+01,1.284993489583333426e-01,3.962639591126253420e-03
1.425596666334864260e+01,1.223144531250000000e-01,6.579729502180065200e-03
1.451996604600324758e+01,1.320800781250000000e-01,7.987292289918599547e-03
1.478396542865785079e+01,1.495768229166666574e-01,2.855274217586072950e-03
1.504796481131245578e+01,1.811523437500000000e-01,3.831789507484880883e-03
1.531196419396706077e+01,1.982421875000000000e-01,6.470110420019842962e-03
1.557596357662166398e+01,2.002766927083333426e-01,5.415912477856391766e-03
1.583996295927626896e+01,2.213541666666666574e-01,8.644708154224935853e-03
1.610396234193087395e+01,1.912434895833333426e-01,1.332251427713615185e-03
1.636796172458547716e+01,1.767578125000000000e-01,1.428657313444559561e-02
1.663196110724008392e+01,1.588541666666666574e-01,8.053351864530282692e-03
1.689596048989468713e+01,1.333821614583333426e-01,8.272409258520567465e-03
1.715995987254929034e+01,1.266276041666666574e-01,2.977892979090492921e-03
1.742395925520389710e+01,1.092122395833333287e-01,6.450632898524844352e-03
1.768795863785850031e+01,1.431477864583333426e-01,1.839624764885630951e-03
1.795195802051310352e+01,1.326497395833333426e-01,1.006847830043461518e-02
1.821595740316771028e+01,1.235351562500000000e-01,2.815567039714549948e-03
1.847995678582231349e+01,1.309407552083333426e-01,1.204097118371203097e-02
1.874395616847692025e+01,1.093750000000000000e-01,2.587583511651146868e-03
1.900795555113152346e+01,1.305338541666666574e-01,6.422852709106654200e-03
1.927195493378612667e+01,1.209309895833333287e-01,2.834322064985025837e-03
1.953595431644073344e+01,1.351725260416666574e-01,7.534594400457490446e-03
1.979995369909533665e+01,1.594238281250000000e-01,7.410515910047012038e-03
2.006395308174993986e+01,1.807454427083333426e-01,1.205169174186803555e-02
2.032795246440454662e+01,2.165527343750000000e-01,8.057873564118855914e-03
2.059195184705914983e+01,2.325846354166666574e-01,9.022566114280728203e-03
2.085595122971375304e+01,2.308756510416666574e-01,8.924036539494348275e-03
2.111995061236835980e+01,2.377929687500000000e-01,4.536900997645297931e-03
2.138394999502296301e+01,2.213541666666666574e-01,1.011179789864435907e-02
2.164794937767756622e+01,1.997070312500000000e-01,1.998377141570422452e-03
2.191194876033217298e+01,1.686197916666666574e-01,1.364957413589355795e-02
2.217594814298677619e+01,1.579589843750000000e-01,4.065753905207290277e-03
2.243994752564138295e+01,1.430664062500000000e-01,1.524657714452734179e-03
2.270394690829598616e+01,1.320800781250000000e-01,3.705257955023506019e-03
2.296794629095058937e+01,1.153157552083333287e-01,8.288005896141936030e-03
2.323194567360519613e+01,1.131184895833333287e-01,8.748656275675135985e-03
2.349594505625979934e+01,1.026204427083333287e-01,5.990711050709551268e-03
2.375994443891440255e+01,1.133626302083333287e-01,1.995060330750531019e-03
2.402394382156900932e+01,1.299641927083333426e-01,6.061596500500023195e-03
2.428794320422361253e+01,1.311035156250000000e-01,5.941869901130146861e-03
2.455194258687821574e+01,1.535644531250000000e-01,1.937806136033635778e-03
2.481594196953282250e+01,1.654459635416666574e-01,6.307359908743043718e-03
2.507994135218742571e+01,1.692708333333333426e-01,9.636942424771820920e-03
2.534394073484202892e+01,1.800130208333333426e-01,3.063400101679477749e-03
2.560794011749663568e+01,1.570638020833333426e-01,8.588214979865822427e-03
2.587193950015123889e+01,1.410319010416666574e-01,9.385223465715166130e-04
2.613593888280584565e+01,1.424153645833333426e-01,8.394004578436926878e-03
2.639993826546044886e+01,1.298014322916666574e-01,5.238762024554388143e-03
2.666393764811505207e+01,1.176757812500000000e-01,4.159953749717467016e-03
2.692793703076965883e+01,1.405436197916666574e-01,5.076977200677806716e-03
2.719193641342426204e+01,1.280924479166666574e-01,1.221218424223675589e-02
2.745593579607886525e+01,1.246744791666666713e-01,2.317550596663109364e-03
2.771993517873347201e+01,1.113281250000000000e-01,3.532313543979607052e-03
2.798393456138807522e+01,1.143391927083333287e-01,1.018033554396845751e-02
2.824793394404267843e+01,1.306966145833333426e-01,3.889258836376471590e-03
2.851193332669728520e+01,1.280110677083333426e-01,6.294747278407452316e-03
2.877593270935188841e+01,1.522623697916666574e-01,8.417640831095295553e-03
2.903993209200649517e+01,1.480305989583333426e-01,1.200130462618865732e-02
2.930393147466109838e+01,1.661783854166666574e-01,9.356600755532538949e-03
2.956793085731570159e+01,1.821289062500000000e-01,1.031572387857475522e-02
2.983193023997030835e+01,1.718750000000000000e-01,3.831789507484880883e-03
3.009592962262491156e+01,2.224121093750000000e-01,2.320406482647014053e-03
3.035992900527951477e+01,2.568359375000000000e-01,2.050539032694892808e-02
3.062392838793412153e+01,2.819010416666666852e-01,2.083333333333333565e-02
3.088792777058872474e+01,3.336588541666666852e-01,8.044712471521742528e-03
3.115192715324332795e+01,3.611653645833333148e-01,4.462574827752342765e-03
3.141592653589793116e+01,4.235026041666666852e-01,1.230537641369518209e-02
